Liste des mesures du '2021-04-02 15:58:07+00' au '2021-04-02 17:03:07+00'
Date;Station;Type;Valeur
2021-04-02 15:00:00;Ennzala;pluie 1h;0.0
2021-04-02 15:00:00;Ennzala;pluie 24h;0.0
2021-04-02 15:00:00;Ennzala;pluie 5mn;0.0
2021-04-02 15:00:00;Foum Tillicht;limni;1.710
2021-04-02 15:00:00;Foum Tillicht;pluie 1h;0.0
2021-04-02 15:00:00;Foum Tillicht;pluie 24h;0.0
2021-04-02 15:00:00;Foum Tillicht;pluie 5mn;0.0
2021-04-02 15:00:00;M'zizel;limni;10.361
2021-04-02 15:00:00;M'zizel;pluie 1h;0.0
2021-04-02 15:00:00;M'zizel;pluie 24h;0.0
2021-04-02 15:00:00;M'zizel;pluie 5mn;0.0
2021-04-02 15:00:00;Oued Lehmar;pluie 1h;0.0
2021-04-02 15:00:00;Oued Lehmar;pluie 24h;0.0
2021-04-02 15:00:00;Oued Lehmar;pluie 5mn;0.0
2021-04-02 15:00:00;Outerbate;pluie 1h;0.0
2021-04-02 15:00:00;Outerbate;pluie 24h;0.0
2021-04-02 15:00:00;Outerbate;pluie 5mn;0.0
2021-04-02 15:00:00;Zaouiat sidi Hamza;limni;0.655
2021-04-02 15:00:00;Zaouiat sidi Hamza;pluie 1h;0.0
2021-04-02 15:00:00;Zaouiat sidi Hamza;pluie 24h;0.0
2021-04-02 15:00:00;Zaouiat sidi Hamza;pluie 5mn;0.0
2021-04-02 15:15:00;Ennzala;pluie 1h;0.0
2021-04-02 15:15:00;Ennzala;pluie 24h;0.0
2021-04-02 15:15:00;Ennzala;pluie 5mn;0.0
2021-04-02 15:15:00;Foum Tillicht;limni;1.707
2021-04-02 15:15:00;Foum Tillicht;pluie 1h;0.0
2021-04-02 15:15:00;Foum Tillicht;pluie 24h;0.0
2021-04-02 15:15:00;Foum Tillicht;pluie 5mn;0.0
2021-04-02 15:15:00;M'zizel;limni;10.361
2021-04-02 15:15:00;M'zizel;pluie 1h;0.0
2021-04-02 15:15:00;M'zizel;pluie 24h;0.0
2021-04-02 15:15:00;M'zizel;pluie 5mn;0.0
2021-04-02 15:15:00;Oued Lehmar;pluie 1h;0.0
2021-04-02 15:15:00;Oued Lehmar;pluie 24h;0.0
2021-04-02 15:15:00;Oued Lehmar;pluie 5mn;0.0
2021-04-02 15:15:00;Outerbate;pluie 1h;0.0
2021-04-02 15:15:00;Outerbate;pluie 24h;0.0
2021-04-02 15:15:00;Outerbate;pluie 5mn;0.0
2021-04-02 15:15:00;Zaouiat sidi Hamza;limni;0.651
2021-04-02 15:15:00;Zaouiat sidi Hamza;pluie 1h;0.0
2021-04-02 15:15:00;Zaouiat sidi Hamza;pluie 24h;0.0
2021-04-02 15:15:00;Zaouiat sidi Hamza;pluie 5mn;0.0
2021-04-02 15:30:00;Ennzala;pluie 1h;0.0
2021-04-02 15:30:00;Ennzala;pluie 24h;0.0
2021-04-02 15:30:00;Ennzala;pluie 5mn;0.0
2021-04-02 15:30:00;Foum Tillicht;limni;1.710
2021-04-02 15:30:00;Foum Tillicht;pluie 1h;0.0
2021-04-02 15:30:00;Foum Tillicht;pluie 24h;0.0
2021-04-02 15:30:00;Foum Tillicht;pluie 5mn;0.0
2021-04-02 15:30:00;M'zizel;limni;10.361
2021-04-02 15:30:00;M'zizel;pluie 1h;0.0
2021-04-02 15:30:00;M'zizel;pluie 24h;0.0
2021-04-02 15:30:00;M'zizel;pluie 5mn;0.0
2021-04-02 15:30:00;Oued Lehmar;pluie 1h;0.0
2021-04-02 15:30:00;Oued Lehmar;pluie 24h;0.0
2021-04-02 15:30:00;Oued Lehmar;pluie 5mn;0.0
2021-04-02 15:30:00;Outerbate;pluie 1h;0.0
2021-04-02 15:30:00;Outerbate;pluie 24h;0.0
2021-04-02 15:30:00;Outerbate;pluie 5mn;0.0
2021-04-02 15:30:00;Zaouiat sidi Hamza;limni;0.659
2021-04-02 15:30:00;Zaouiat sidi Hamza;pluie 1h;0.0
2021-04-02 15:30:00;Zaouiat sidi Hamza;pluie 24h;0.0
2021-04-02 15:30:00;Zaouiat sidi Hamza;pluie 5mn;0.0
2021-04-02 15:45:00;Ennzala;pluie 1h;0.0
2021-04-02 15:45:00;Ennzala;pluie 24h;0.0
2021-04-02 15:45:00;Ennzala;pluie 5mn;0.0
2021-04-02 15:45:00;Foum Tillicht;limni;1.709
